family,n,run,pieces,boxes,deepest_box,agents,agents-in-coalitions,expected,valid,genz,agreement,timeout,runtime,status
coalitionMonotonicity,40,1,5,2,1,40,41,True,True,True,True,100,0.2051,Completed
coalitionMonotonicity,40,2,5,2,1,40,41,True,True,True,True,100,5.63e-2,Completed
coalitionMonotonicity,40,3,5,2,1,40,41,True,True,True,True,100,0.1167,Completed
coalitionMonotonicity,80,1,5,2,1,80,81,True,True,True,True,100,9.64e-2,Completed
coalitionMonotonicity,80,2,5,2,1,80,81,True,True,True,True,100,6.47e-2,Completed
coalitionMonotonicity,80,3,5,2,1,80,81,True,True,True,True,100,6.7e-2,Completed
coalitionMonotonicity,160,1,5,2,1,160,161,True,True,True,True,100,0.1664,Completed
coalitionMonotonicity,160,2,5,2,1,160,161,True,True,True,True,100,0.114,Completed
coalitionMonotonicity,160,3,5,2,1,160,161,True,True,True,True,100,8.69e-2,Completed
coalitionMonotonicity,320,1,5,2,1,320,321,True,True,True,True,100,0.2352,Completed
coalitionMonotonicity,320,2,5,2,1,320,321,True,True,True,True,100,0.1236,Completed
coalitionMonotonicity,320,3,5,2,1,320,321,True,True,True,True,100,0.1613,Completed
coalitionMonotonicity,640,1,5,2,1,640,641,True,True,True,True,100,0.3031,Completed
coalitionMonotonicity,640,2,5,2,1,640,641,True,True,True,True,100,0.2055,Completed
coalitionMonotonicity,640,3,5,2,1,640,641,True,True,True,True,100,0.2584,Completed
coalitionMonotonicity,1280,1,5,2,1,1280,1281,True,True,True,True,100,0.3574,Completed
coalitionMonotonicity,1280,2,5,2,1,1280,1281,True,True,True,True,100,0.4004,Completed
coalitionMonotonicity,1280,3,5,2,1,1280,1281,True,True,True,True,100,0.7602,Completed
coalitionMonotonicity,2560,1,5,2,1,2560,2561,True,True,True,True,100,0.3243,Completed
coalitionMonotonicity,2560,2,5,2,1,2560,2561,True,True,True,True,100,0.3928,Completed
coalitionMonotonicity,2560,3,5,2,1,2560,2561,True,True,True,True,100,0.3526,Completed
coalitionMonotonicity,5120,1,5,2,1,5120,5121,True,True,True,True,100,0.5671,Completed
coalitionMonotonicity,5120,2,5,2,1,5120,5121,True,True,True,True,100,2.0641,Completed
coalitionMonotonicity,5120,3,5,2,1,5120,5121,True,True,True,True,100,0.5741,Completed
nestingBox,40,1,43,40,40,2,40,True,True,True,True,100,6.68e-2,Completed
nestingBox,40,2,43,40,40,2,40,True,True,True,True,100,4.61e-2,Completed
nestingBox,40,3,43,40,40,2,40,True,True,True,True,100,6.03e-2,Completed
nestingBox,80,1,83,80,80,2,80,True,True,True,True,100,8.84e-2,Completed
nestingBox,80,2,83,80,80,2,80,True,True,True,True,100,0.1322,Completed
nestingBox,80,3,83,80,80,2,80,True,True,True,True,100,6.14e-2,Completed
nestingBox,160,1,163,160,160,2,160,True,True,True,True,100,0.1507,Completed
nestingBox,160,2,163,160,160,2,160,True,True,True,True,100,9.46e-2,Completed
nestingBox,160,3,163,160,160,2,160,True,True,True,True,100,0.1396,Completed
nestingBox,320,1,323,320,320,2,320,True,True,True,True,100,0.3298,Completed
nestingBox,320,2,323,320,320,2,320,True,True,True,True,100,0.2156,Completed
nestingBox,320,3,323,320,320,2,320,True,True,True,True,100,0.23,Completed
nestingBox,640,1,643,640,640,2,640,True,True,True,True,100,0.3721,Completed
nestingBox,640,2,643,640,640,2,640,True,True,True,True,100,0.6589,Completed
nestingBox,640,3,643,640,640,2,640,True,True,True,True,100,0.4753,Completed
nestingBox,1280,1,1283,1280,1280,2,1280,True,True,True,True,100,2.1257,Completed
nestingBox,1280,2,1283,1280,1280,2,1280,True,True,True,True,100,0.6496,Completed
nestingBox,1280,3,1283,1280,1280,2,1280,True,True,True,True,100,0.9507,Completed
nestingBox,2560,1,2563,2560,2560,2,2560,True,True,True,True,100,2.0709,Completed
nestingBox,2560,2,2563,2560,2560,2,2560,True,True,True,True,100,3.7817,Completed
nestingBox,2560,3,2563,2560,2560,2,2560,True,True,True,True,100,3.6978,Completed
nestingBox,5120,1,5123,5120,5120,2,5120,True,True,True,True,100,11.9587,Completed
nestingBox,5120,2,5123,5120,5120,2,5120,True,True,True,True,100,7.7838,Completed
nestingBox,5120,3,5123,5120,5120,2,5120,True,True,True,True,100,8.8877,Completed
outcomeMonotonicity,40,1,83,2,1,2,2,True,True,True,True,100,0.4773,Completed
outcomeMonotonicity,40,2,83,2,1,2,2,True,True,True,True,100,0.4803,Completed
outcomeMonotonicity,40,3,83,2,1,2,2,True,True,True,True,100,0.4385,Completed
outcomeMonotonicity,80,1,163,2,1,2,2,True,True,True,True,100,5.1019,Completed
outcomeMonotonicity,80,2,163,2,1,2,2,True,True,True,True,100,5.1653,Completed
outcomeMonotonicity,80,3,163,2,1,2,2,True,True,True,True,100,5.9467,Completed
outcomeMonotonicity,160,1,323,2,1,2,2,True,True,True,True,100,46.7012,Completed
outcomeMonotonicity,160,2,323,2,1,2,2,True,True,True,True,100,20.4544,Completed
outcomeMonotonicity,160,3,323,2,1,2,2,True,True,True,True,100,25.2177,Completed
outcomeMonotonicity,320,1,643,2,1,2,2,True,True,True,True,100,198.8491,Completed
outcomeMonotonicity,320,2,643,2,1,2,2,True,True,True,True,100,169.347,Completed
outcomeMonotonicity,320,3,643,2,1,2,2,True,True,True,True,100,169.8589,Completed
outcomeMonotonicity,640,1,1283,2,1,2,2,True,True,True,True,100,1356.4046,Completed
outcomeMonotonicity,640,2,1283,2,1,2,2,True,True,True,True,100,1335.1966,Completed
outcomeMonotonicity,640,3,1283,2,1,2,2,True,True,True,True,100,1266.6172,Completed
outcomeMonotonicity,1280,1,2563,2,1,2,2,True,True,True,True,100,13734.4143,Completed
outcomeMonotonicity,1280,2,2563,2,1,2,2,True,True,True,True,100,13494.7367,Completed
outcomeMonotonicity,1280,3,2563,2,1,2,2,True,True,True,True,100,13455.5832,Completed
outcomeMonotonicity,2560,1,5123,2,1,2,2,True,True,,,100,100035.6846,Timeout
