"family","n","completed_runs","median_runtime_ms"
"coalitionMonotonicity","40","3","0.1167"
"coalitionMonotonicity","80","3","0.067"
"coalitionMonotonicity","160","3","0.114"
"coalitionMonotonicity","320","3","0.1613"
"coalitionMonotonicity","640","3","0.2584"
"coalitionMonotonicity","1280","3","0.4004"
"coalitionMonotonicity","2560","3","0.3526"
"coalitionMonotonicity","5120","3","0.5741"
"nestingBox","40","3","0.0603"
"nestingBox","80","3","0.0884"
"nestingBox","160","3","0.1396"
"nestingBox","320","3","0.23"
"nestingBox","640","3","0.4753"
"nestingBox","1280","3","0.9507"
"nestingBox","2560","3","3.6978"
"nestingBox","5120","3","8.8877"
"outcomeMonotonicity","40","3","0.4773"
"outcomeMonotonicity","80","3","5.1653"
"outcomeMonotonicity","160","3","25.2177"
"outcomeMonotonicity","320","3","169.8589"
"outcomeMonotonicity","640","3","1335.1966"
"outcomeMonotonicity","1280","3","13494.7367"
