family,n,run,pieces,boxes,deepest_box,agents,agents-in-coalitions,expected,valid,genz,agreement,timeout,runtime,status
coalitionMonotonicity,40,1,5,2,1,40,41,True,True,True,True,100,0.4094,Completed
coalitionMonotonicity,40,2,5,2,1,40,41,True,True,True,True,100,0.3185,Completed
coalitionMonotonicity,40,3,5,2,1,40,41,True,True,True,True,100,0.6982,Completed
coalitionMonotonicity,80,1,5,2,1,80,81,True,True,True,True,100,0.5694,Completed
coalitionMonotonicity,80,2,5,2,1,80,81,True,True,True,True,100,0.3754,Completed
coalitionMonotonicity,80,3,5,2,1,80,81,True,True,True,True,100,0.31,Completed
coalitionMonotonicity,160,1,5,2,1,160,161,True,True,True,True,100,0.3743,Completed
coalitionMonotonicity,160,2,5,2,1,160,161,True,True,True,True,100,0.3227,Completed
coalitionMonotonicity,160,3,5,2,1,160,161,True,True,True,True,100,0.6005,Completed
coalitionMonotonicity,320,1,5,2,1,320,321,True,True,True,True,100,0.4142,Completed
coalitionMonotonicity,320,2,5,2,1,320,321,True,True,True,True,100,0.6302,Completed
coalitionMonotonicity,320,3,5,2,1,320,321,True,True,True,True,100,0.3632,Completed
coalitionMonotonicity,640,1,5,2,1,640,641,True,True,True,True,100,0.6228,Completed
coalitionMonotonicity,640,2,5,2,1,640,641,True,True,True,True,100,0.4383,Completed
coalitionMonotonicity,640,3,5,2,1,640,641,True,True,True,True,100,0.7557,Completed
coalitionMonotonicity,1280,1,5,2,1,1280,1281,True,True,True,True,100,0.5485,Completed
coalitionMonotonicity,1280,2,5,2,1,1280,1281,True,True,True,True,100,0.5449,Completed
coalitionMonotonicity,1280,3,5,2,1,1280,1281,True,True,True,True,100,0.8665,Completed
coalitionMonotonicity,2560,1,5,2,1,2560,2561,True,True,True,True,100,1.3696,Completed
coalitionMonotonicity,2560,2,5,2,1,2560,2561,True,True,True,True,100,1.2745,Completed
coalitionMonotonicity,2560,3,5,2,1,2560,2561,True,True,True,True,100,0.7696,Completed
coalitionMonotonicity,5120,1,5,2,1,5120,5121,True,True,True,True,100,1.2113,Completed
coalitionMonotonicity,5120,2,5,2,1,5120,5121,True,True,True,True,100,1.3499,Completed
coalitionMonotonicity,5120,3,5,2,1,5120,5121,True,True,True,True,100,1.1106,Completed
nestingBox,40,1,43,40,40,2,40,True,True,True,True,100,1.549,Completed
nestingBox,40,2,43,40,40,2,40,True,True,True,True,100,1.3973,Completed
nestingBox,40,3,43,40,40,2,40,True,True,True,True,100,3.4892,Completed
nestingBox,80,1,83,80,80,2,80,True,True,True,True,100,6.9229,Completed
nestingBox,80,2,83,80,80,2,80,True,True,True,True,100,6.7995,Completed
nestingBox,80,3,83,80,80,2,80,True,True,True,True,100,6.3472,Completed
nestingBox,160,1,163,160,160,2,160,True,True,True,True,100,5.603,Completed
nestingBox,160,2,163,160,160,2,160,True,True,True,True,100,5.5229,Completed
nestingBox,160,3,163,160,160,2,160,True,True,True,True,100,7.5478,Completed
nestingBox,320,1,323,320,320,2,320,True,True,True,True,100,11.2259,Completed
nestingBox,320,2,323,320,320,2,320,True,True,True,True,100,24.3409,Completed
nestingBox,320,3,323,320,320,2,320,True,True,True,True,100,15.0634,Completed
nestingBox,640,1,643,640,640,2,640,True,True,True,True,100,34.3131,Completed
nestingBox,640,2,643,640,640,2,640,True,True,True,True,100,24.6911,Completed
nestingBox,640,3,643,640,640,2,640,True,True,True,True,100,23.9223,Completed
nestingBox,1280,1,1283,1280,1280,2,1280,True,True,True,True,100,64.2727,Completed
nestingBox,1280,2,1283,1280,1280,2,1280,True,True,True,True,100,48.7986,Completed
nestingBox,1280,3,1283,1280,1280,2,1280,True,True,True,True,100,66.8473,Completed
nestingBox,2560,1,2563,2560,2560,2,2560,True,True,True,True,100,168.6018,Completed
nestingBox,2560,2,2563,2560,2560,2,2560,True,True,True,True,100,89.3406,Completed
nestingBox,2560,3,2563,2560,2560,2,2560,True,True,True,True,100,108.4561,Completed
nestingBox,5120,1,5123,5120,5120,2,5120,True,True,True,True,100,169.3778,Completed
nestingBox,5120,2,5123,5120,5120,2,5120,True,True,True,True,100,164.3263,Completed
nestingBox,5120,3,5123,5120,5120,2,5120,True,True,True,True,100,186.5346,Completed
outcomeMonotonicity,40,1,83,2,1,2,2,True,True,True,True,100,28.2667,Completed
outcomeMonotonicity,40,2,83,2,1,2,2,True,True,True,True,100,32.136,Completed
outcomeMonotonicity,40,3,83,2,1,2,2,True,True,True,True,100,43.4204,Completed
outcomeMonotonicity,80,1,163,2,1,2,2,True,True,True,True,100,130.7145,Completed
outcomeMonotonicity,80,2,163,2,1,2,2,True,True,True,True,100,139.301,Completed
outcomeMonotonicity,80,3,163,2,1,2,2,True,True,True,True,100,130.2509,Completed
outcomeMonotonicity,160,1,323,2,1,2,2,True,True,True,True,100,849.1338,Completed
outcomeMonotonicity,160,2,323,2,1,2,2,True,True,True,True,100,897.0935,Completed
outcomeMonotonicity,160,3,323,2,1,2,2,True,True,True,True,100,963.1631,Completed
outcomeMonotonicity,320,1,643,2,1,2,2,True,True,True,True,100,7215.5018,Completed
outcomeMonotonicity,320,2,643,2,1,2,2,True,True,True,True,100,7550.4669,Completed
outcomeMonotonicity,320,3,643,2,1,2,2,True,True,True,True,100,7409.0093,Completed
outcomeMonotonicity,640,1,1283,2,1,2,2,True,True,True,True,100,55307.0741,Completed
outcomeMonotonicity,640,2,1283,2,1,2,2,True,True,True,True,100,53726.925,Completed
outcomeMonotonicity,640,3,1283,2,1,2,2,True,True,True,True,100,50143.04,Completed
outcomeMonotonicity,1280,1,2563,2,1,2,2,True,True,,,100,100056.3786,Timeout
