"family","n","pieces","boxes","deepest_box","agents","agents_in_coalitions","run1_seconds","run2_seconds","run3_seconds","median_runtime_seconds"
"chainCL","2","10","3","1","2","4","5,91E-05","7,59E-05","7,290000000000001E-05","7,290000000000001E-05"
"chainCL","3","15","4","1","3","6","9,19E-05","0,0001232","0,0001384","0,0001232"
"chainCL","4","20","5","1","4","8","0,00029120000000000003","0,00019800000000000002","0,00018790000000000001","0,00019800000000000002"
"chainCL","5","25","6","1","5","10","0,0004831","0,0007582","0,0007245","0,0007245"
"chainCL","6","30","7","1","6","12","0,00177","0,0016711","0,0008280999999999999","0,0016711"
"chainCL","7","35","8","1","7","14","0,0017293","0,0022822","0,0017587","0,0017587"
"chainCL","8","40","9","1","8","16","0,0043803","0,007146499999999999","0,004041","0,0043803"
"chainCL","9","45","10","1","9","18","0,0098395","0,020460899999999997","0,0100853","0,0100853"
"chainCL","10","50","11","1","10","20","0,03084","0,0432125","0,0257104","0,03084"
"chainCL","11","55","12","1","11","22","0,0659125","0,07421330000000001","0,07940219999999999","0,07421330000000001"
"chainCL","12","60","13","1","12","24","0,1336837","0,1470494","0,13356579999999998","0,1336837"
"chainCL","13","65","14","1","13","26","0,3119855","0,3068052","0,31774979999999997","0,3119855"
"chainCL","14","70","15","1","14","28","0,7309945","0,747947","0,7746482","0,747947"
"chainCL","15","75","16","1","15","30","1,7405241","1,7126687999999999","1,7042395","1,7126687999999999"
"chainCL","16","80","17","1","16","32","3,9559254999999998","4,0664577","4,0425764","4,0425764"
"chainCL","17","85","18","1","17","34","9,4114223","9,4411047","9,679416300000002","9,4411047"
"chainCL","18","90","19","1","18","36","21,8282208","21,3481957","21,074591400000003","21,3481957"
"chainCL","19","95","20","1","19","38","49,2132116","50,8205777","48,157596","49,2132116"
"coalitionMonotonicity","2","5","2","1","2","3","4,2000000000000004E-05","6,33E-05","4,66E-05","4,66E-05"
"coalitionMonotonicity","3","5","2","1","3","4","9,2E-05","4,31E-05","4,98E-05","4,98E-05"
"coalitionMonotonicity","4","5","2","1","4","5","5,26E-05","4,81E-05","5,72E-05","5,26E-05"
"coalitionMonotonicity","5","5","2","1","5","6","5,4800000000000004E-05","4,24E-05","5,4600000000000006E-05","5,4600000000000006E-05"
"coalitionMonotonicity","6","5","2","1","6","7","4,14E-05","6,819999999999999E-05","4,0300000000000004E-05","4,14E-05"
"coalitionMonotonicity","7","5","2","1","7","8","9,070000000000001E-05","4,44E-05","4,18E-05","4,44E-05"
"coalitionMonotonicity","8","5","2","1","8","9","4,15E-05","5,6E-05","5,21E-05","5,21E-05"
"coalitionMonotonicity","9","5","2","1","9","10","5,23E-05","6,93E-05","6,31E-05","6,31E-05"
"coalitionMonotonicity","10","5","2","1","10","11","5,54E-05","5,5100000000000004E-05","5,71E-05","5,54E-05"
"coalitionMonotonicity","11","5","2","1","11","12","5,33E-05","5,4499999999999997E-05","4,7600000000000005E-05","5,33E-05"
