"family","n","pieces","boxes","deepest_box","agents","agents_in_coalitions","run1_ms","run2_ms","run3_ms","median_runtime_ms"
"chainCL","2","10","3","1","2","4","0,0591","0,0759","0,0729","0,0729"
"chainCL","3","15","4","1","3","6","0,0919","0,1232","0,1384","0,1232"
"chainCL","4","20","5","1","4","8","0,2912","0,198","0,1879","0,198"
"chainCL","5","25","6","1","5","10","0,4831","0,7582","0,7245","0,7245"
"chainCL","6","30","7","1","6","12","1,77","1,6711","0,8281","1,6711"
"chainCL","7","35","8","1","7","14","1,7293","2,2822","1,7587","1,7587"
"chainCL","8","40","9","1","8","16","4,3803","7,1465","4,041","4,3803"
"chainCL","9","45","10","1","9","18","9,8395","20,4609","10,0853","10,0853"
"chainCL","10","50","11","1","10","20","30,84","43,2125","25,7104","30,84"
"chainCL","11","55","12","1","11","22","65,9125","74,2133","79,4022","74,2133"
"chainCL","12","60","13","1","12","24","133,6837","147,0494","133,5658","133,6837"
"chainCL","13","65","14","1","13","26","311,9855","306,8052","317,7498","311,9855"
"chainCL","14","70","15","1","14","28","730,9945","747,947","774,6482","747,947"
"chainCL","15","75","16","1","15","30","1740,5241","1712,6688","1704,2395","1712,6688"
"chainCL","16","80","17","1","16","32","3955,9255","4066,4577","4042,5764","4042,5764"
"chainCL","17","85","18","1","17","34","9411,4223","9441,1047","9679,4163","9441,1047"
"chainCL","18","90","19","1","18","36","21828,2208","21348,1957","21074,5914","21348,1957"
"chainCL","19","95","20","1","19","38","49213,2116","50820,5777","48157,596","49213,2116"
"coalitionMonotonicity","2","5","2","1","2","3","0,042","0,0633","0,0466","0,0466"
"coalitionMonotonicity","3","5","2","1","3","4","0,092","0,0431","0,0498","0,0498"
"coalitionMonotonicity","4","5","2","1","4","5","0,0526","0,0481","0,0572","0,0526"
"coalitionMonotonicity","5","5","2","1","5","6","0,0548","0,0424","0,0546","0,0546"
"coalitionMonotonicity","6","5","2","1","6","7","0,0414","0,0682","0,0403","0,0414"
"coalitionMonotonicity","7","5","2","1","7","8","0,0907","0,0444","0,0418","0,0444"
"coalitionMonotonicity","8","5","2","1","8","9","0,0415","0,056","0,0521","0,0521"
"coalitionMonotonicity","9","5","2","1","9","10","0,0523","0,0693","0,0631","0,0631"
"coalitionMonotonicity","10","5","2","1","10","11","0,0554","0,0551","0,0571","0,0554"
"coalitionMonotonicity","11","5","2","1","11","12","0,0533","0,0545","0,0476","0,0533"
"coalitionMonotonicity","12","5","2","1","12","13","0,0409","0,0553","0,0839","0,0553"
"coalitionMonotonicity","13","5","2","1","13","14","0,0436","0,0495","0,0468","0,0468"
"coalitionMonotonicity","14","5","2","1","14","15","0,0428","0,0553","0,103","0,0553"
"coalitionMonotonicity","15","5","2","1","15","16","0,1285","0,0546","0,0587","0,0587"
"coalitionMonotonicity","16","5","2","1","16","17","0,0417","0,0768","0,0509","0,0509"
"coalitionMonotonicity","17","5","2","1","17","18","0,0507","0,0433","0,0519","0,0507"
"coalitionMonotonicity","18","5","2","1","18","19","0,0619","0,0892","0,0434","0,0619"
"coalitionMonotonicity","19","5","2","1","19","20","0,0455","0,0442","0,0555","0,0455"
"coalitionMonotonicity","20","5","2","1","20","21","0,0428","0,0515","0,0981","0,0515"
"coalitionMonotonicity","21","5","2","1","21","22","0,0467","0,0499","0,0553","0,0499"
"nestedChainCL","2","13","6","2","4","8","0,0683","0,08","0,1216","0,08"
"nestedChainCL","3","19","8","2","6","12","0,3399","0,2802","0,2262","0,2802"
"nestedChainCL","4","25","10","2","8","16","0,5145","0,5118","1,6091","0,5145"
"nestedChainCL","5","31","12","2","10","20","4,5011","4,4317","3,1384","4,4317"
"nestedChainCL","6","37","14","2","12","24","13,4674","13,3715","5,6535","13,3715"
"nestedChainCL","7","43","16","2","14","28","20,1258","19,6003","24,3712","20,1258"
"nestedChainCL","8","49","18","2","16","32","76,259","73,0807","67,2788","73,0807"
"nestedChainCL","9","55","20","2","18","36","244,0633","238,8445","247,8017","244,0633"
"nestedChainCL","10","61","22","2","20","40","842,0021","830,2711","840,1204","840,1204"
"nestedChainCL","11","67","24","2","22","44","3045,8059","3024,4472","2993,0042","3024,4472"
"nestedChainCL","12","73","26","2","24","48","10604,2688","10992,5001","10616,8815","10616,8815"
"nestedChainCL","13","79","28","2","26","52","36757,3027","40467,2651","36834,3051","36834,3051"
"nestingBox","1","4","1","1","2","1","0,052","0,0343","0,032","0,0343"
"nestingBox","2","5","2","2","2","2","0,0386","0,1139","0,0673","0,0673"
"nestingBox","3","6","3","3","2","3","0,0429","0,0416","0,0439","0,0429"
"nestingBox","4","7","4","4","2","4","0,0278","0,038","0,0704","0,038"
"nestingBox","5","8","5","5","2","5","0,1045","0,0346","0,0411","0,0411"
"nestingBox","6","9","6","6","2","6","0,0451","0,0399","0,0693","0,0451"
"nestingBox","7","10","7","7","2","7","0,0436","0,0443","0,0333","0,0436"
"nestingBox","8","11","8","8","2","8","0,174","0,0385","0,0543","0,0543"
"nestingBox","9","12","9","9","2","9","0,0413","0,0443","0,078","0,0443"
"nestingBox","10","13","10","10","2","10","0,0425","0,0329","0,0489","0,0425"
"nestingBox","11","14","11","11","2","11","0,0855","0,0451","0,0437","0,0451"
"nestingBox","12","15","12","12","2","12","0,0333","0,0503","0,0452","0,0452"
"nestingBox","13","16","13","13","2","13","0,0429","0,0807","0,0477","0,0477"
"nestingBox","14","17","14","14","2","14","0,0431","0,043","0,0486","0,0431"
"nestingBox","15","18","15","15","2","15","0,0451","0,0455","0,0499","0,0455"
"nestingBox","16","19","16","16","2","16","0,0863","0,0402","0,0551","0,0551"
"nestingBox","17","20","17","17","2","17","0,0518","0,0422","0,0453","0,0453"
"nestingBox","18","21","18","18","2","18","0,0746","0,0568","0,0499","0,0568"
"nestingBox","19","22","19","19","2","19","0,0442","0,0543","0,0464","0,0464"
"nestingBox","20","23","20","20","2","20","0,037","0,0363","0,0509","0,037"
"outcomeMonotonicity","2","7","2","1","2","2","0,042","0,0824","0,08","0,08"
"outcomeMonotonicity","3","9","2","1","2","2","0,0788","0,0479","0,0656","0,0656"
"outcomeMonotonicity","4","11","2","1","2","2","0,0491","0,06","0,0522","0,0522"
"outcomeMonotonicity","5","13","2","1","2","2","0,0584","0,1111","0,052","0,0584"
"outcomeMonotonicity","6","15","2","1","2","2","0,0688","0,0567","0,0749","0,0688"
"outcomeMonotonicity","7","17","2","1","2","2","0,081","0,0568","0,0751","0,0751"
"outcomeMonotonicity","8","19","2","1","2","2","0,1139","0,1232","0,0892","0,1139"
"outcomeMonotonicity","9","21","2","1","2","2","0,128","0,1103","0,063","0,1103"
"outcomeMonotonicity","10","23","2","1","2","2","0,0699","0,0702","0,1012","0,0702"
"outcomeMonotonicity","11","25","2","1","2","2","0,106","0,0986","0,0723","0,0986"
"outcomeMonotonicity","12","27","2","1","2","2","0,1954","0,2418","0,1371","0,1954"
"outcomeMonotonicity","13","29","2","1","2","2","0,1307","0,1291","0,1736","0,1307"
"outcomeMonotonicity","14","31","2","1","2","2","0,1422","0,1311","0,1203","0,1311"
"outcomeMonotonicity","15","33","2","1","2","2","0,1796","0,1457","0,141","0,1457"
"outcomeMonotonicity","16","35","2","1","2","2","0,105","0,1616","0,1757","0,1616"
"outcomeMonotonicity","17","37","2","1","2","2","0,2829","0,141","0,0967","0,141"
"outcomeMonotonicity","18","39","2","1","2","2","0,1378","0,114","0,1061","0,114"
"outcomeMonotonicity","19","41","2","1","2","2","0,1988","0,1253","0,2041","0,1988"
"outcomeMonotonicity","20","43","2","1","2","2","0,2495","0,3176","0,1697","0,2495"
"outcomeMonotonicity","21","45","2","1","2","2","0,1822","0,1637","0,1643","0,1643"
"superadditivity","2","10","3","1","2","4","0,249","0,0952","0,144","0,144"
"superadditivity","3","15","4","1","3","6","0,237","0,1437","0,1074","0,1437"
"superadditivity","4","20","5","1","4","8","0,2414","0,2792","0,245","0,245"
"superadditivity","5","25","6","1","5","10","0,3545","0,3713","0,421","0,3713"
"superadditivity","6","30","7","1","6","12","0,8207","0,6544","0,7495","0,7495"
"superadditivity","7","35","8","1","7","14","1,1859","1,0083","0,8283","1,0083"
"superadditivity","8","40","9","1","8","16","3,0095","2,398","1,7286","2,398"
"superadditivity","9","45","10","1","9","18","3,9009","3,9045","3,9166","3,9045"
"superadditivity","10","50","11","1","10","20","9,9412","9,1484","10,9105","9,9412"
"superadditivity","11","55","12","1","11","22","59,0242","32,4055","19,5509","32,4055"
"superadditivity","12","60","13","1","12","24","46,3466","46,6233","46,0247","46,3466"
"superadditivity","13","65","14","1","13","26","107,2021","97,048","97,4152","97,4152"
"superadditivity","14","70","15","1","14","28","205,9584","220,7819","224,6987","220,7819"
"superadditivity","15","75","16","1","15","30","457,8434","453,5533","455,0874","455,0874"
"superadditivity","16","80","17","1","16","32","1015,2033","1017,5718","1138,334","1017,5718"
"superadditivity","17","85","18","1","17","34","2183,2738","2220,7471","2394,0722","2220,7471"
"superadditivity","18","90","19","1","18","36","8321,6137","4856,4327","4786,8814","4856,4327"
"superadditivity","19","95","20","1","19","38","10678,6371","10648,1381","10664,5824","10664,5824"
"superadditivity","20","100","21","1","20","40","21798,8577","22337,9353","21996,7316","21996,7316"
"superadditivity","21","105","22","1","21","42","46702,2582","46088,9408","46514,4479","46514,4479"
"superadditivityprime","2","10","3","1","2","3","0,0755","0,0897","0,0948","0,0897"
"superadditivityprime","3","15","4","1","3","5","0,2344","0,0677","0,12","0,12"
"superadditivityprime","4","20","5","1","4","7","0,1015","0,1094","0,1376","0,1094"
"superadditivityprime","5","25","6","1","5","9","0,1683","0,1914","0,1757","0,1757"
"superadditivityprime","6","30","7","1","6","11","0,3463","0,333","0,328","0,333"
"superadditivityprime","7","35","8","1","7","13","0,5752","0,6189","1,4468","0,6189"
"superadditivityprime","8","40","9","1","8","15","3,129","1,8154","1,788","1,8154"
"superadditivityprime","9","45","10","1","9","17","3,5502","2,4822","2,6661","2,6661"
"superadditivityprime","10","50","11","1","10","19","5,3417","5,3667","5,3015","5,3417"
"superadditivityprime","11","55","12","1","11","21","18,3785","11,9535","11,462","11,9535"
"superadditivityprime","12","60","13","1","12","23","25,847","26,7128","26,7267","26,7128"
"superadditivityprime","13","65","14","1","13","25","60,5976","60,2165","58,3761","60,2165"
"superadditivityprime","14","70","15","1","14","27","125,7018","127,7509","128,6649","127,7509"
"superadditivityprime","15","75","16","1","15","29","285,3418","291,0669","281,0966","285,3418"
"superadditivityprime","16","80","17","1","16","31","681,8194","656,1107","611,5291","656,1107"
"superadditivityprime","17","85","18","1","17","33","1321,0706","1379,7553","1421,344","1379,7553"
