family,n,run,pieces,boxes,deepest_box,agents,agents-in-coalitions,expected,valid,genz,agreement,timeout,runtime,status
superadditivity,2,1,10,3,1,2,4,True,True,True,True,100,0.249,Completed
superadditivity,2,2,10,3,1,2,4,True,True,True,True,100,9.52e-2,Completed
superadditivity,2,3,10,3,1,2,4,True,True,True,True,100,0.144,Completed
superadditivity,3,1,15,4,1,3,6,True,True,True,True,100,0.237,Completed
superadditivity,3,2,15,4,1,3,6,True,True,True,True,100,0.1437,Completed
superadditivity,3,3,15,4,1,3,6,True,True,True,True,100,0.1074,Completed
superadditivity,4,1,20,5,1,4,8,True,True,True,True,100,0.2414,Completed
superadditivity,4,2,20,5,1,4,8,True,True,True,True,100,0.2792,Completed
superadditivity,4,3,20,5,1,4,8,True,True,True,True,100,0.245,Completed
superadditivity,5,1,25,6,1,5,10,True,True,True,True,100,0.3545,Completed
superadditivity,5,2,25,6,1,5,10,True,True,True,True,100,0.3713,Completed
superadditivity,5,3,25,6,1,5,10,True,True,True,True,100,0.421,Completed
superadditivity,6,1,30,7,1,6,12,True,True,True,True,100,0.8207,Completed
superadditivity,6,2,30,7,1,6,12,True,True,True,True,100,0.6544,Completed
superadditivity,6,3,30,7,1,6,12,True,True,True,True,100,0.7495,Completed
superadditivity,7,1,35,8,1,7,14,True,True,True,True,100,1.1859,Completed
superadditivity,7,2,35,8,1,7,14,True,True,True,True,100,1.0083,Completed
superadditivity,7,3,35,8,1,7,14,True,True,True,True,100,0.8283,Completed
superadditivity,8,1,40,9,1,8,16,True,True,True,True,100,3.0095,Completed
superadditivity,8,2,40,9,1,8,16,True,True,True,True,100,2.398,Completed
superadditivity,8,3,40,9,1,8,16,True,True,True,True,100,1.7286,Completed
superadditivity,9,1,45,10,1,9,18,True,True,True,True,100,3.9009,Completed
superadditivity,9,2,45,10,1,9,18,True,True,True,True,100,3.9045,Completed
superadditivity,9,3,45,10,1,9,18,True,True,True,True,100,3.9166,Completed
superadditivity,10,1,50,11,1,10,20,True,True,True,True,100,9.9412,Completed
superadditivity,10,2,50,11,1,10,20,True,True,True,True,100,9.1484,Completed
superadditivity,10,3,50,11,1,10,20,True,True,True,True,100,10.9105,Completed
